CIR,2007,2008,2009,2010,2012,2013,2014,2015
42006,0.28,0.26,0.27,0.24,0.23,0.23,0.26,0.27
42007,0.21,0.22,0.23,0.21,0.18,0.16,0.18,0.16
42008,0.51,0.55,0.56,0.51,0.48,0.45,0.5,0.44
42009,0.31,0.32,0.33,0.33,0.28,0.25,0.27,0.28
42010,0.53,0.54,0.55,0.49,0.54,0.49,0.42,0.43
42011,0.08,0.1,0.12,0.13,0.14,0.16,0.18,0.18
42012,0.36,0.41,0.45,0.47,0.42,0.39,0.4,0.4
42013,0.26,0.31,0.37,0.35,0.35,0.33,0.35,0.36
42015,0.2,0.22,0.23,0.23,0.23,0.22,0.19,0.18
42016,0.32,0.31,0.34,0.33,0.32,0.29,0.31,0.3
43001,0.48,0.49,0.56,0.51,0.49,0.51,0.57,0.51
43003,0.33,0.36,0.37,0.37,0.36,0.27,0.31,0.3
43004,0.13,0.14,0.13,0.13,0.14,0.1,0.1,0.09
43005,0.18,0.21,0.17,0.18,0.2,0.17,0.17,0.16
43006,0.31,0.36,0.32,0.25,0.26,0.22,0.25,0.26
43007,0.14,0.15,0.19,0.16,0.15,0.15,0.13,0.12
43008,0.1,0.27,0.26,0.22,0.14,0.13,0.14,0.14
43009,0.1,0.08,0.17,0.18,0.08,0.05,0.05,0.04
43010,0.19,0.2,0.19,0.19,0.19,0.18,0.21,0.22
43011,0.34,0.35,0.39,0.39,0.33,0.35,0.41,0.4
43013,0.6,0.66,0.6,0.48,0.42,0.38,0.46,0.47
43014,1.0,1.0,1.0,0.82,0.7,0.62,0.59,0.62
43015,0.93,0.94,0.93,0.84,0.74,0.62,0.73,0.69
43016,0.68,0.66,0.66,0.58,0.48,0.46,0.46,0.43
43017,0.47,0.5,0.53,0.54,0.48,0.44,0.45,0.42
43018,0.89,0.91,0.93,1.0,0.88,0.81,0.88,0.8
43020,0.84,0.8,0.83,0.74,0.68,0.63,0.63,0.55
43021,0.33,0.39,0.37,0.36,0.36,0.34,0.35,0.34
43022,0.2,0.22,0.24,0.22,0.26,0.27,0.29,0.3
43023,0.1,0.12,0.17,0.15,0.15,0.13,0.17,0.18
43025,0.33,0.37,0.4,0.4,0.38,0.35,0.34,0.31
43026,0.28,0.26,0.24,0.24,0.24,0.26,0.25,0.26
43027,0.36,0.39,0.41,0.43,0.44,0.41,0.43,0.41
43028,0.32,0.36,0.35,0.33,0.3,0.32,0.41,0.4
43029,0.65,0.69,0.73,0.69,0.62,0.53,0.57,0.54
43030,0.41,0.37,0.4,0.48,0.33,0.41,0.47,0.41
50001,0.26,0.26,0.28,0.27,0.26,0.25,0.29,0.29
50002,0.06,0.05,0.06,0.06,0.09,0.16,0.18,0.19
50003,0.39,0.32,0.3,0.26,0.25,0.27,0.3,0.29
50004,0.3,0.27,0.28,0.29,0.26,0.29,0.33,0.34
51001,0.62,0.43,0.41,0.33,0.41,0.42,0.42,0.35
51002,0.16,0.17,0.17,0.17,0.18,0.14,0.13,0.13
51007,0.29,0.28,0.27,0.28,0.29,0.24,0.22,0.22
51008,0.28,0.24,0.3,0.34,0.38,0.39,0.4,0.44
51010,0.34,0.31,0.4,0.41,0.41,0.35,0.42,0.26
51011,0.34,0.35,0.36,0.34,0.26,0.27,0.39,0.35
51013,0.23,0.23,0.24,0.2,0.22,0.23,0.24,0.25
51014,0.2,0.17,0.2,0.12,0.13,0.1,0.13,0.14
51015,0.21,0.34,0.41,0.4,0.38,0.28,0.28,0.32
52001,0.33,0.34,0.35,0.34,0.29,0.28,0.31,0.3
52002,0.17,0.19,0.16,0.13,0.12,0.13,0.14,0.13
52003,0.27,0.25,0.25,0.25,0.17,0.12,0.13,0.11
52005,0.51,0.53,0.57,0.54,0.47,0.49,0.5,0.44
52008,0.51,0.54,0.58,0.65,0.58,0.61,0.67,0.68
52011,0.3,0.33,0.33,0.25,0.22,0.19,0.19,0.17
52012,0.8,0.8,0.87,0.88,0.8,0.78,0.85,0.79
52014,0.42,0.36,0.43,0.45,0.44,0.42,0.4,0.37
52015,0.37,0.36,0.37,0.32,0.3,0.28,0.3,0.31
52017,0.61,0.51,0.49,0.49,0.46,0.46,0.46,0.46
52018,0.47,0.5,0.49,0.49,0.48,0.49,0.52,0.57
53001,0.15,0.15,0.15,0.16,0.19,0.19,0.23,0.2
